228126,ESCOLAS,22 – SEDUC,Administração direta
228127,ESCOLAS,22 – SEDUC,Administração direta
228128,ESCOLAS,22 – SEDUC,Administração direta
228129,ESCOLAS,22 – SEDUC,Administração direta
228130,ESCOLAS,22 – SEDUC,Administração direta
228131,ESCOLAS,22 – SEDUC,Administração direta
228133,ESCOLAS,22 – SEDUC,Administração direta
228134,ESCOLAS,22 – SEDUC,Administração direta
228135,ESCOLAS,22 – SEDUC,Administração direta
228137,ESCOLAS,22 – SEDUC,Administração direta
228138,ESCOLAS,22 – SEDUC,Administração direta
228139,ESCOLAS,22 – SEDUC,Administração direta
228140,ESCOLAS,22 – SEDUC,Administração direta
228141,ESCOLAS,22 – SEDUC,Administração direta
228142,ESCOLAS,22 – SEDUC,Administração direta
228143,ESCOLAS,22 – SEDUC,Administração direta
228144,ESCOLAS,22 – SEDUC,Administração direta
228145,ESCOLAS,22 – SEDUC,Administração direta
228146,ESCOLAS,22 – SEDUC,Administração direta
228147,ESCOLAS,22 – SEDUC,Administração direta
228148,ESCOLAS,22 – SEDUC,Administração direta
228149,ESCOLAS,22 – SEDUC,Administração direta
228150,ESCOLAS,22 – SEDUC,Administração direta
228151,ESCOLAS,22 – SEDUC,Administração direta
228152,ESCOLAS,22 – SEDUC,Administração direta
228153,ESCOLAS,22 – SEDUC,Administração direta
228154,ESCOLAS,22 – SEDUC,Administração direta
228155,ESCOLAS,22 – SEDUC,Administração direta
228156,ESCOLAS,22 – SEDUC,Administração direta
228157,ESCOLAS,22 – SEDUC,Administração direta
228158,ESCOLAS,22 – SEDUC,Administração direta
228159,ESCOLAS,22 – SEDUC,Administração direta
228160,ESCOLAS,22 – SEDUC,Administração direta
228161,ESCOLAS,22 – SEDUC,Administração direta
228162,ESCOLAS,22 – SEDUC,Administração direta
228163,ESCOLAS,22 – SEDUC,Administração direta
228164,ESCOLAS,22 – SEDUC,Administração direta
228165,ESCOLAS,22 – SEDUC,Administração direta
228166,ESCOLAS,22 – SEDUC,Administração direta
228167,ESCOLAS,22 – SEDUC,Administração direta
228168,ESCOLAS,22 – SEDUC,Administração direta
228169,ESCOLAS,22 – SEDUC,Administração direta
228171,ESCOLAS,22 – SEDUC,Administração direta
228172,ESCOLAS,22 – SEDUC,Administração direta
228173,ESCOLAS,22 – SEDUC,Administração direta
228174,ESCOLAS,22 – SEDUC,Administração direta
228175,ESCOLAS,22 – SEDUC,Administração direta
228176,ESCOLAS,22 – SEDUC,Administração direta
228177,ESCOLAS,22 – SEDUC,Administração direta
228178,ESCOLAS,22 – SEDUC,Administração direta
228179,ESCOLAS,22 – SEDUC,Administração direta
228180,ESCOLAS,22 – SEDUC,Administração direta
228181,ESCOLAS,22 – SEDUC,Administração direta
228182,ESCOLAS,22 – SEDUC,Administração direta
228183,ESCOLAS,22 – SEDUC,Administração direta
228184,ESCOLAS,22 – SEDUC,Administração direta
228185,ESCOLAS,22 – SEDUC,Administração direta
228186,ESCOLAS,22 – SEDUC,Administração direta
228187,ESCOLAS,22 – SEDUC,Administração direta
228188,ESCOLAS,22 – SEDUC,Administração direta
228189,ESCOLAS,22 – SEDUC,Administração direta
228190,ESCOLAS,22 – SEDUC,Administração direta
228191,ESCOLAS,22 – SEDUC,Administração direta
228192,ESCOLAS,22 – SEDUC,Administração direta
228193,ESCOLAS,22 – SEDUC,Administração direta
